אֵב	ev
מְסַפֵּר	msaper
מֻסְפַּר	muspar
מִסְפָּרִי	mispari
מַס קְנִיָּה	mas kniya
מָסַר	masar
מֶסֶר	meser
מָסֹרֶת	masoret
מָסֹרֶת	masoret
מְסַרְתֵּן	msarten
מִסְתּוֹר	mistor
מַעֲבָר	maavar
מַעְבֹּרֶת	maboret
מְעֻבֶּרֶת	muberet
מַעְגָּל	maagal
מַעֲגָנָה	maagana
מַעֲדֵר	mader  maader
מעות חטים	maot itim
מְעִיל	mil
מְעִילָה	mila
מַעְיָן	maayan
מָעַל	maal
מֵעַל	meal
מַעֲלָה	maala
מַעֲלִית	maalit
מְעַנְיֵן	manyen
מְעֻנְיָן	munyan
מְעֻנָּן	munan
מַעֲצָר	maatsar
מַעֲקֶה	maake
מַעֲרָבוֹן	maaravon
מַעֲרוֹךְ	maarokh
מַעֲרִיב	maariv
מַעַרְכוֹן	maarkhon
מַעֲרֶכֶת&lt;--x--&gt;־&lt;--x--&gt;הַפְעָלָה	maarekhet-hafala
מַעֲרֶכֶת	maarekhet
מַעֲרֶכֶת סְגוּרָה	maarekhet sgura
מערכת שמש	maarekhet-shemesh
מַעַשׂ	maas
מַעֲשֶׂה	maase
מַעֲשֵׂר	maaser
מַפַּא״י	mapai
מַפַּאי	mapai
מַפּוּחַ	mapuakh
מַפּוֹת	mapot
מְפִיבֹשֶׁת	mpiboset
מַפִּית	mapit
מִפְלָגָה	miflaga
מַפְלִיא	mafli
מִפְלֶצֶת	mifletset
מִפְעָל	mifal
מְפַקֵּד	mfaked
מִפְקָדָה	mifkada
מְפֻרְסָם	mfursam
מִפְרָץ	mifrats
מִפְרָשׂ	mifras
מַפַּת	mapat
מַפְתֵּחַ	mafteakh
מָצָא	matsa
מַצַּב רוּחַ	matsav ruakh
מַצָּה	matsa
מְצַוָּה	mtsava
מְצַוֶּה	mtsave
מְצַוֶּה	mtsave
מְצֻוֶּה	mtsuve
מִצְווֹת	mitsvot
מַצּוֹת	matsot
מִצְוַת־	mitsvat-
מִצְוַת הַקְהֵל	mitsvat hak-hel
מִצְוֹתָיו	mitsvotav
מְצֻיָּן	mtzuyan
מְצִיצָה	metsitsa
מֻצְלָח	mutzlakh
מֻצְלַחַת	mutzlakhat
מַצְלִיחַ	matzliakh
מָצַץ	matsats
מֵצַר	meitsar
מִצְרִי	mitsri
מִצְרַיִם	mitsrayim
מִצְרַיְמָה	mitsrayma
מַקְבִּיל	makbil
מַקְדֵּחָה	makdekha
מֻקְדָּם	mukdam
מַקְהֵלָה	makhela
מִקְוֶה	mikve
מְקוֹמִי	mkomi
מָקוֹר	makor
מְקֻטָּל	mkutal, mquttal
מַקִּיף	makif
מַקֵּל	makel
מִקְלֶדֶת	mikledet
מִקְלַחַת	miklakhat
מַקְלֵט	maklet
מִקְלָט	miklat
מְקֻלְקָל	mkulkal
מִקֵּם	mikem
מֶקְסִיקוֹ	meksiko
מַקָּף	makaf
מֻקָּף	mukaf
מִקְרָא	mikra
מִקְרֶה	mikre
מְקָרֵר	mkarer
מֻקַּשׁ	mukash
מַר	mar
מַרְאָה	mara
מַרְאֶה	mare
מַרְאוֹת	marot
מַרְאִית עַיִן	marit ayin
מֶרֶד	mered
מָרְדֳּכַי‏‏‏	mordechay or mordechay
מָרָה	mara
מָרַח	marakh
מָרִיחוּאָנָה	marikhuana
מִרְיָם	miryam
מְרִיצָה	mritsa
מֶרְכָּב	merkav
מֶרְכָּבָה	merkava
מֶרְכָּזִי	merkazi
מַרְס	mars
מַרְפֵּא פֶּלֶא	marpe pele
מִרְפֶּסֶת	mirpeset
מֶרֶץ	merets
מֶרְץ	merts
מַרְצִיפָּן	martsipan
מָרָק	marak
מִרְשָׁם	mirsham
מְרֻשָּׁת	merushat
מַשְׁאֵבָה	masheva
מַשָּׂאִית	masait
מֻשָּׂג	musag
משגיח רוחני	mashgiakh rukhani
מְשֻׁגָּע	mshuga
מְשֻׁגָּע	mshuga
מַשֶּׁהוּ	mashehu
מִשְׁוָאָה	mishvaa
מַשּׂוֹא פָּנִים	maso panim
מָשׁוֹט	mashot
מְשׁוֹרֵר	meshorer
מָשׂוֹשׂ	masos
מָשַׁח	mashakh
מִשְׂחַק וִידֵאוֹ	miskhak video
מִשְׂחֲקֵי וִידֵאוֹ	miskhakei video
מִשְׂחָקִים	miskhaqim
מִשְׂחֲקֵי מַחְשֵׁב	miskhakei makhshev
מִשְׂחַק מַחְשֵׁב	miskhak makhshev
מָשִׁיחַ	mashiakh
מֶשֶׁךְ	meshekh
מִשְׁכָּן	mishkan
מְשַׁכְנֵעַ	mshakhnea
מַשְׂכֹּרֶת	maskoret
מָשָׁל	mashal
משלוחי מנות	mishlokhei-manot
מִשְׁלַח יָד	mishlakh yad
מַשְׁלִים	mashlim
מְשָׁלִים	mshalim
מֻשְׁלָם	mushlam
מִשְׁמֵעַ	mishmea
מִשְׁמֵשׁ	mishmesh
מְשַׁנֶּה	mshane
מְשֻׁנֶּה	mshune
מְשֻׁנּוֹת	mshunot
מִשְׁנָיוֹת	mishnayot
מְשֻׁנִּים	mshunim
מְשִׁסָּה	mshisa
מִשְׁפָּחָה	mishpakha
מִשְׁפָּחוֹת	mishpakhot
מִשְׁפַּחְתִּי	mishpakhti
מִשְׁפָּחְתִּי	mishpakhti
מִשְׁפָּט	mishpat
משפטים	mishpatim
מְשֻׁפָּע	mshupa
מַשְׁקֶה	mashke
מִשְׁקָל	mishkal
מִשְׁקָפַיִם	mishkafayim
מִשְׁתֶּה	mishte
מִשְׁתָּלָה	mishtala
מִשְׁתַּנֶּה	mishtane
מְשֻׁתָּף	mshutaf
מֵת	met
מֵת	met
מִתְאָר	mitar
מְתָאֵר	mtaer
מִתְגַּיֵּס	mitgayes
מֵתוּ	metu
מֶתוֹדָה	metoda
מְתַוֵּךְ	metavech
מָתוֹק	matok
מָתַי	matai
מַתִּי	mati
מַתִּירָנוּת	metiranut
מַתְכּוֹן	matkon
מְתֻכְנָן	mtukhnan
מָתֵמָטִיקָה	matematika
מָתֶמָטִיקָה	matematika
מַתָּנָה	matana
מֹתֶק	motek
מְתֻרְגָּם	mturgam
מְתֻרְגְּמָן	mturgman
נָא	na
נֶאֱבַד	neevad
נֶאֱגַר	neegar
נָאֶה	nae
נֶאֱהַב	neehav
נָאוָה	nava
נָאוֶה	nave
נֵאוֹן	neon
נָאוֹר	naor
נֶאֱכַל	neekhal
נֶאֱמַן	neeman
נֶאֱמָן	neeman
נֶאֱמָנוּת	neemanut
נָאַף	naaf
נֶאֱצָל	neetsal
נִבָּא	niba
נִבָּא	niba
נִבֵּא	nibe
נִבֵּא	nibe
נְבוֹ	nvo
נָבוֹן	navon
נִבְחַר	nivkhar
נִבְחָר	nivkhar
נָבִיא	navi
נָבַל	naval
נֵבֶל	nevel
נִבְרָא	nivra
נֶגֶב	negev
נַגָּד	nagad
נָגַהּ	nagah
נֹגַהּ	nogah
נִגּוּן	nigun
נִגְזֶרֶת	nigzeret
נִגֵּן	nigen
נָגַע	naga
נַגָּר	nagar
נֹגְשָׂיו	nogsav
נְדוּדִים	ndudim
נְדוּנְיָה	ndunya
נִדְחָה	nidkha
נָדִיר	nadir
נִדַּת	nidat
נַהָג	nahag
נָהַג	nahag
נֶהֱדָר	nehedar
נֶהֱנָה	nehena
נָהַר	nahar
נָהָר	nahar
נֶהֱרַג	neherag
נוגה	nogah
נוּגֶה	nuge
נוֹזֵל	nozel
נוֹחַ	noakh
נ־ו־ח	n-w-h  n-h
נַוְטָן	navtan
נוֹלַד	nolad
נוּ״ן	nun
נוּן	nun
נוֹסַד	nosad
נוֹסֵעַ	nosea
נוֹסָף	nosaf
נוֹף	nof
נוֹצְרִי	notsri
נוֹרָא	nora
נוֹרָא	nora
נוֹרְבֶגְיָה	norvegya
נוֹרָה	nora
נוּרָה	nura
נוֹשֵׂא	nose
נוֹשֶׁה	noshe
נִזְבְּחָה	nizbcha
נִזְהָר	nizhar
נָזִיד	nazid
נָזִיר	nazir
נֵזֶר	nezer
נָח	nakh
נַחוּם	nakhum
נַחַ״ל	nakhal
נַחַל	nakhal
נָחַל	nakhal
נֶחְלַשׁ	nekhlash
נֶחֱמַד	nekhemad
נֶחְמָד	nekhmad
נַחְמָן	nakhman
נֶחְקַר	nekhkar
נַחַשׁ	nakhash
נִחֵשׁ	nichesh
נִחֵשׁ	nikhesh
נֶחְשַׁב	nekhshav
נָחַת	nakhat
נָחֵת	nakhet
נָטָה	nata
נָטוּי	natuy
נָטַל	natal
נֵטֶל	netel
נִטֵּל	nitel
נָטַע	nata
נֶטַע	neta
נִיב	niv
נַיָּדִים	nayadim
נְיוּ יוֹרְק	nyu york
נְייַר עֲטִיפָה	niyar atifa
־נִיק	-nik
נְיָר	nyar
נְיָרוֹת	nyarot
נֶכֶד	nekhed
נֶכְדָּה	nekhda
נִכָּה	nika
נָכוֹן	nakhon
נִכּוּר	nikoor
נִכְלַם	nikhlam
נֵכָר	nekhar
נִכָּר	nikar
נִכַּר	nikar
נִכֵּר	niker
נ־כ־ר	n-k-r
נִכְתַּב	nikhtav
נִלְחַם	nilkham
נִלְקַח	nilkakh
נָם	nam
נָמוּךְ	namuch
נִמְחַק	nimkhak
נִמְכַּר	nimkar
נָמֵל	namel
נְמַל־הַתְּעוּפָה	nmal-hatufa
נִמְלַט	nimlat
נִמְנַע	nimna
נָמַס	namas
נִמְצָא	nimtsa
נְמֵרָה	nmera
נֶמֶשׁ	nemesh
נִמְשַׁךְ	nimshakh
נִמְשָׁךְ	nimshakh
נַנָּס לָבָן	nanas lavan
נָס	nas
נֵס	nes
נִסְגַּר	nisgar
נִסָּה	nisa
נֻסָּה	nusa
נָסוּךְ	nasukh
נֻסָּח	nusakh
נֻסְחָה	nuskha
נִסְחַף	niskhaf
נָסִיךְ	nasikh
נִסִּים	nisim
נִסִּים	nisim
נְסִיעָה	nsia
נָסַע	nasa
נָעִים	naim
נָעִים מְאוֹד	naim mod
נְעִימָה	neima
נַעַל	naal
נְעָלֶיךָ	nalecha
נָעֳמִי	noomi
נַעְנַע	nana
נִעְנֵעַ	ninea
נַעַר	naar
נָעַר	naar
נְעָרִים	narim
נַעֲשָׂה	naasa
נַעֲשֶׂה	naase
נִפְגַּע	nifga
נִפְגַּשׁ	nifgash
נָפָה	nafa
נָפוּחַ	nafuakh
נִפְטַר	niftar
נָפִיל	nafil
נְפִילָה	nfila
נָפַל	nafal
נִפֵּץ	nipets
נִפְרַד	nifrad
נִפְרָד	nifrad
נָפַשׁ	nafash
נֶפֶשׁ	nefesh
נֹפֶשׁ	nofesh
נִפְשַׁט	nifshat
נָפַת	nafat
נִצָּב	nitsav
נִצּוּל	nitsul
נֵצַח	netzakh
נֶצַח	netzakh
נִצֵּחַ	nitseakh
נִצָּחוֹן	nitsakhon
נִצֵּל	nitsel
נִצָּן	nitzan
נֵצֶר	netser
נִצֵּר	nitser
נִצְרָה	nitsra
נַצְרוּת	natsrut
נָצְרַת עִלִּית‎	natsrat ilit
נִקְבַּר	nikbar
נְקֻדָּה	nkuda
נִקּוּד	nikud
נָקִי	naki
נְקָמָה	nekama
נִקְרָא	nikra
נִקְרַת	nikrat
נִרְאֶה	nire
נִרְגַּע	nirga
נֵרוֹת	nerot
נִרְצָח	nirtsakh
נַרְתִּיק	nartik
נָשָׂא	nasa
נָשָׁא	nasha
נִשָּׂא	nisa
נִשֵּׂא	nise
נָשָׂא וְנָתַן	nasa vnatan
נִשְׁאַר	nishar
נִשְׁבָּה	nishba
נִשְׁבַּר	nishbar
נָשׂוּא	nasu
נִשּׂוּאִין	nisuin
נִשְׁטַף	nishtaf
נְשִׂיאִים	nsiim
נְשִׁיכָה	neshikha
נָשִׁים	nashim
נָשִׂים	nasim
נְשִׁימָה	neshima
נְשִׁיפָה	neshifa
נְשִׁיקָה	neshika
נִשְׁכַּח	nishkakh
נִשְׁלַט	nishlat
נָשְׁמָה	nashma
נְשָׁמָה	nshama
נִשְׁמַע	nishma
נִשְׁמַר	nishmar
נָשַׁק	nashaq
נ־שׁ־ק	n-sh-q
נֶשֶׁק גַּרְעִינִי	neshek garini
נֶשֶׁר	nesher
נִתּוּחַ	nituakh
נִתְחַכְּמָה	nitchakma
נָתִיב	nativ
נָתָן	natan
נִתַּן	nitan
נְתַנְיָהוּ	ntanyahu
סָב	sav
סַב	sav
סַבָּא	saba
סָבַב	savav
סַבַּבָּה	sababa
סָבָה	sabba
סִבָּה	siba
סִבּוּב	sibuv
סִבּוּבִים	sibuvim
סִבּוּךְ	sibukh
סְבִיבָה	sviva
סְבִיבוֹנִים	svivonim
סְבִירוּת	svirut
סִבִּית	sibit
סָבַל	saval
סַבְלָנוּת	savlanut
סְבָרָה	svara
סָבְתָא	savta
סָגַד	sagad
סָגוּר	sagur
סְגַלְגַּל	sgalgal
סְגֻלָּה	sgula, sgulla
סִגְנוֹן	signon
סַגְסֹגֶת	sagsoget
סָגַר	sagar
סְדוֹם	sdom
סִדּוּר	sidur
סָדִין	sadin
סְדֹם	sdom
סַדְנָה	sadna
סוּבּוֹתְניק	subotnik
סוֹבְלָנוּת	sovlanut
סִוֵּג	siveg
סוּג	sug
סוּגָה	suga
סוּג שֶׁל	sug shel
סוֹד	sod
סוֹלְלָה	solla
סוּנִי	suni
סוֹף	sof
סוֹף סוֹף	sof sof
סוֹפִי	sofi
סוֹפִית	sofit
סוֹפֵר	sofer
סוּפֶּר	super
סוּפֶּרְפּוֹזִיצְיָה	superpozitsya
סוֹצְיָאלִיזְם	sotsyalizm
סוּשִׁי	sushi
סְחוֹרָה	skhora
סָחַט	sakhat
סְטָטִיסְטִיקָה	statistika
סְטִירָה	stira
סְטִירוֹת	stirot
סְטִירַת	stirat
סְטֶנְדְּאָפּ	stendap
סְטֶנְדְאַפִּיסְט	stendapist
סִיגְד	sigd
סִיגַרְיָה	sigarya
סִידָן	sidan
סִיּוּט	siyut
סִיּוּם	siyum
סִיוָן	sivan
סִימֶטְרִי	simetri
סִימָן	siman
סִימָן־מוּלָד	siman-mulad
סִין	sin
סִינַי	sinay
סִינִי	sini
סִינִית	sinit
סִיסְמָה	sisma
סִיעָה	sia
סַיִף	sayif
סִירָה	sira
סִכּוּי	sikui
סַכּוּ״ם	sakum
סֻכּוֹת	sukot
סַכִּין גִּלּוּחַ	sakin giluakh
סַכִּין יַפָּנִי	sakin yapani
סָכָל	sakhal
סֶכֶל	sekhel
סֻכַּל	sukal
סִכֵּן	siken
סַכָּנָה	sakana
סֶכֶר	sekher
סֻכָּר	sukar
סֻכְּרָזִית	sukrazit
סֻכֶּרֶת	sukeret
סָלוֹן	salon
סָלַח	salakh
סָלַל	salal
סֻלָּם	sulam
סַלְמוֹן	salmon
סְלֶנְג	sleng
סַם פֶּלֶא	sam pele
סְמוֹל טוֹק	smol tok
סָמֶ״ךְ	samekh
סַמָּל	samal
סִמֵּן	simen
סְנָאִי	snai
סֶנְדְוִיץ׳	sendvich
סַנְדָּל	sandal
סַנְהֶדְרִין‎	sanhedrin
סָנַט	sanat
סֶנְט	sent
סַנְטֵר	santer
סִנְכְּרֵן	sinkren
סֻנְכְּרַן	sunkren
סְנַפִּירִים	snapirim
סַנְקְצְיָה	sanktsya
סְעִיף	seif
סְעָרָה	seara
סָפַג	safag
סֻפְגָּנִיָּה	sufganiya
סֻפְגָּנִיָּה	sufganiya
סֻפְגָּנִיּוֹת	sufganiyot
סָפַד	safad
סַפָּה	sapa
סְפּוֹדִיק	spodik
סְפּוֹרְטַאי	sportai
סָפִיר	safir
סַפִּיר	sapir
סְפִירָה	sfira
סַפְסָל	safsal
סָפֵק	safek
סַפָּק	sapak
סִפֵּק	sipek
סְפֵקוֹת	sfekot
סָפַר	safar
סַפָּר	sapar
סִפֵּר	siper
סֵפֶר בְּרֵאשִׁית‎	sefer breshith
סֵפֶר בִּשׁוּל	sefer bishul
סְפָרַד	sfarad
סְפָרַדִּי	sfaradi
סְפָרַדִּית	sfaradit
סַפְרָה	safra
סְפֶרָה	sfera
סִפְרָה	sifra
סִפְּרָה	sipra
סִפְרוּת	sifrut
סִפְרִיָּה	sifriya
סֵפֶר לִמּוּד	sefer limud
סְצֵנָה	stzena
סֶקְסוּאָלִי	seksuali
סֶקְסִי	seksi
סָקַר	sakar
סַקְרָן	sakran
סִקְרֵן	sikren
סַקְרָנוּת	sakranut
סֵרַב	serav
סֶרְבּוֹ־קְרוֹאָטִית	serbo-kroatit
סֶרֶט	seret
סֶרֶט מַגְנֵטִי	seret magneti
סַרְטַן יָם	sartan yam
סָרַק	sarak
סָרָק	sarak
סְתָו	stav
סָתוּם	satum
סְתִירָה	stira
סָתַם	satam
סְתָם	stam
סְתָ״ם	stm, stam
סְתָמִי	stami
עָב	av
עֶבֶד	eved
עָבְדָה	avda
עַבְדָּהּ	avdah
עֲבֹדָה	avoda
עִבְּדָה	ibda
עֻבְדָּה מֻגְמֶרֶת	uvda mugmeret
עַבְּדוּ	abdu
עֲבָדוֹ	avado
עָבְדוּ	avdu
עִבְדוּ	ivdu
עַבְדְּךָ	avdcha
עִבַּדְתֶּם	ibadtem
עֲבוֹט	avot
עֲבוּר	avur
עָבַר	avar
עֲבֵרָה	avera
עֶבְרָה	evra
עִבְרִי	ivri
עִבְרִים	ivrim
עִבְרִית	ivrit
עִבְרִיֹּת	ivriyot
עַגְבָנִיָּה	agvaniya
עַגְבָנִיּוֹת	agvaniyot
עֻגוֹת	ugot
עֵגֶל	egel
עָגַן	agan
עֹגֶן	ogen
עַד	ad
עֵד	ed
עֵדָה	eda
עֵדוּת	edut
עֵדִים	edim
עֲדַיִן	adayin
עָדִיף	adif
עֲדִיפוּיוֹת	adiyfuyot
עֲדִיפוּת	adiyfut
עַדֶּן	aden
עֵדֶן	eden
עֹדֶף	odef
עָדַר	adar
עֵדֶר	eder
עֲדָשָׁה	adasha
עוֹבַדְיָה	ovadia
עוּגָה	uga
עוּגִיָּה	ugia
עוֹד	od
עוֹדֵד	oded
עוֹדֵף	odef
עוֹכֵר שִׂמְחָה	okher simkha
עַוְלָה	avla
עוֹלָה	ola
עוֹלֶה	ole
עוֹלָמִי	olami
עוֹמֵד	omed
עוֹנָה	ona
עוֹף	of
עוֹר	or
עוֹרֵב	orev
עוֹרוֹת	orot
עוֹרֵךְ	orekh
עוֹרֵךְ דִּין	orekh din
עוֹרֶכֶת דִּין	orekhet din
עוֹרֵר	orer
עַז	az
עֵז	ez
עֲזָאזֵל	azazel
עָזַב	azav
עֲזַבְתֶּן	azavten
עַזָּה	aza
עֵזֶר	ezer
עֶזְרָה	ezra
עֵט	et
עֲטִיפָה	atifa
עֲטָרָה	atara
עַיִט	ayit
עַיִ״ן	ayin
עִיֵּן	iyen
עָיֵף	ayef
עִיֵּף	iyef
עִיר	ir
עֵירוֹם	erom
עִירוֹנִי	ironi
עִירִיָּה	iriya
עַכָּבִישׁ	akavish
עַכְבָּר	akhbar
עַכּוֹ	ako
עַכּוּז	akuz
עִכּוּל	ikul
עַכְשָׁו	akhshav
עֲכְשָׁוִי	akhshavi
עֲכְשָׁוִית	akhshavit
עַל	al
עַל אָחַת כַּמָּה וְכַמָּה	al akhat kama vkhama
עָלָה	ala
עָלֶה	ale
עָלוּב	aluv
עָלֵז	alez
עַל טַעַם וְרֵיחַ אֵין לְהִתְוַכֵּחַ	al taam vreakh en lhitvakeach
עֲלֵי	alei
עֵלִי	eli
עֲלִיָּה	aliya
עָלָיו	alav
עֲלֵיכֶם שָׁלוֹם	aleikhem shalom
עָלֵינוּ	alenu
עַל־כֵּן	al-ken
עַל לֹא דָבָר	al lo davar
עֶלֶם	elem
עֹלָם	olam
עַלְמָה	alma
עַל־פִּי	al pi
עַל רֶגֶל אַחַת	al regel achat
עֶמְדָּה	emda
עַמּוֹ	amo
עִמּוֹ	imo
עַמּוּד	amud
עמוד בית	amud-bayit
עֲמוּדֵי בַיִת	amude vayit
עָמוֹס	amos
עִמִּי	imi
עַמִּים	amim
עָמִית	amit
עִמָּנוּאֵל	imanuel
עָמַק	amak
עָמֹק	amok
עֵמֶק	emek
עֹמֶק	omek
עֹמֶר	omer
עֵנָב	einav
עֹנֶג	oneg
עֹנֶג	oneg
עֹנִי	oni
עָנְיָם	onyam
עִנְיָן	inyan
עָנָן	anan
עָנָף	anaf
עֲנָקִי	anaki
עַנֹּתוֹ	anoto
עָסוּק	asuk
עִסּוּק	isuk
עִסְקִי	iski
עָף	af
עֲפִיפוֹן	afifon
עַפְעַף	afaf
עָפָר	afar, apar
עֹפֶר	ofer
עֹפֶר	ofer
עַפְרָה	afra
עֶפְרוֹנוֹת	efronot
עָצוּב	atsuv
עִצּוּב	itsuv
עָצוּם	atsum
עִצּוּר	itsur
עֵצִים	etsim
עָצַם	atsam
עַצְמָאוּת	atsmaut
עָצַר	atsar
עָקֵב	akev
עֵקֶב	ekev
עֲקִיבָא	akiva, aqiba
עָקַץ	akats
עָקַר	akar
עִקָּר	ikar
עַקְרָב	akrav
עַקְרַבִּים	akrabim
עַקְשָׁן	akshan
עַקְשָׁנוּת	akshanut
עֵר	er
עֲרָב	arav
עָרַב	arav
עָרֵב	arev
עֶרֶב	erev
עֲרָבוֹת	aravot
עֲרֵבוּת	arevut
עַרְבוּת	arvut
עַרְבֵי	arve
עַרְבַּיִם	arbayim
עַרְבִית	arvit
עָרוּם	arum
עָרוּץ	aruts
עֲרִיכוֹת	arikhot
עֵרֶך	erekh
עָרְלָה	orla
עָרְלַת	orlat
עָרֹם	arom
עַרְסָל	arsal
עַרְעָר	arar
עֲרָפֶל	arafel
עַרַק	araq
עָרַק	araq
עֶרֶשׂ	eres
עָשׁ	ash
עֵשֶׂב	esev
עָשָׂה	asa
עָשָׂה כְּבִיסָה	asa kvisa
עֲשׂוּ	asu
עָשׂוּ	asu
עֵשָׂו	esav, esaw
עִשּׁוּן	ishun
עָשִׁיר	ashir
עֲשִׂיתֶן	asiten
עִשֵּׁן	ishen
עִשֵּׁן	ishen
עֲשָׂרָה	asara
עִשָּׂרוֹן	isaron
עֶשְׂרִים	esrim
עֵת	et
עַתָּה	ata
עִתּוֹן	iton
עִתּוֹנָאוּת	itonaut
עִתּוֹנָאִי	itonai
עִתּוֹנַאי	itonai
עָתִיד	atid
עֲתִידִי	atidi
עָתֵק	atek
פָּאָה	paa
פֵּאָה	pea
פַּאי	pai
פְּאֵר	peer
פֵּאֵר	peer
פִּגְיוֹן	pigyon
פָּגִיעַ	pagia
פְּגִיעָה	pgia
פְּגִישָׁה	pgisha
פָּגַע	paga
פֶּגַע	pega
פִּדְיוֹן	pidyon
פָדִיחָה	fadikha
פָה	fa
פֶּה	pe
פּוֹזָה	poza
פּוֹלִיגְרָף	polygraf
פּוֹלִיטִיקָה	politika
פּוּנְדָק‎	pundak
פּוֹעֵל	poel
פּוֹעֶלֶת	poelet
פּוּצָּה	putsah
פּוֹצֵץ	potsets
פוֹרוּם	forum
פּוּרִים	purim
פּוּרִים	purim
פוֹרְמָלִי	formali
פּוֹרְנוֹגְרָפִי	pornografi
פּוֹרְנוֹגְרַפְיָה	pornografya
פָּז	paz
פִּזְמוֹן	pizmon
פַּח	pakh
פַּחַד	pakhad
פִּחֵד	pikhed
פַּחְדָן	pakhdan
פֶּחָם	pekham
פָּטוּר	patur
פְּטוֹר	ptor
פָּטוּר אֲבָל אָסוּר	patur aval asur
פִּטְרִיָּה	pitriya
פִי	fi
פַּי	pay
פִּיהוּ	pihu
פִּיו	piv
פִיזִי	fizi
פִּיךְ	pich
פִּיל	pil
פִּילֶגֶשׁ	pilegesh
פִּילוֹסוֹף	pilosof, pilosop
פִּין	pin
פִּינְג פּוֹנְג	ping pong
פִינְלַנְד	finland
פִּיצָה	pitsa
פיקוח נפש	pikuakh nefesh
פִּירוֹטֶכְנִיקָה	pirotekhnika
פִּירָמִידָה	piramida
פַּךְ	pakh
פֶּלֶא	pele
פְּלָדָה	plada
פְלוּאוֹר	fluor
פלוּטוֹ	pluto
פָלוּס	falus
פֻּלְחָן	pulkhan
פֻּלְחָנִי	pulkhani
פָלִי	fali
פְלִירְטוּט	flirtut
פְלָמִינְגּוֹ	flamingo
פָלַסְטִין	falastin
פְּלָסְטִיק	plastik
פְּלַסְטֶר	plaster
פִּלְפּוּל	pilpul
פִּלְפֵּל	pilpel
פִּלְפְּלים	pilplim
פִּלְפֵּל לָבָן	pilpel lavan
פִּלְפֵּל שָׁחֹר	pilpel shachor
פְלֶשׁ	flesh
פְּלִשְׁתִּים	plishtim
פֶן	fen
פָּן	pan
פֶּן	pen
פֻּנְדָּק	pundak
פָּנָה	pana
פִּנָּה	pina
פָּנוּי	panuy
פִּנּוּי	pinui
פָּנוּיָה	panuya
פְּנֵי־	pnei-
פָּנִים	panim
פְּנִימָה	pnima
פָּנָס	panas
פַּנְצֶ׳ר	pancher
פִנֵּק	pinek
פָּסוּק	pasuk
פָּסַח	pasach
פֶּסַח	pesach
פַּסְחָא	paskha
פִּסְּחִים	piskhim
פְּסָחִים	psachim
פְּסִיכוֹלוֹג	psikholog
פְּסִיכוֹלוֹגְיָה	psikhologya
פְּסִיכִיאָטְרִי	psikhiatri
פַּסָּל	pasal
פָּסַל	pasal
פֶּסֶל	pesel
פִּסֵּל	pisel
פַּסֶּלֶת	paselet
פְּסֹלֶת	psolet
פְּסַנְתֵּר	psanter
פְּסַנְתֵּרִים	psanterim
פִּסְפֵּס	pispes
פָּסַק	pasak
פָּסֵק	pasek
פְּסָק	psak
פֻּסַּק	pusak
פִּסְקָה	piska
פָּעִיל	pail
פְּעִילוּת	pilut
פָּעַל	paal
פִּעֵל	piel
פֹּעַל	poal
פֹּעַל	poal
פֻּעַל	pual
פְּעָלִים	pealim
פַּעַם	paam
פָּעַם	paam
פִּעֵם	piem
פַּעֲמוֹנִים	paamonim
פָּצִיפִיזְם	patsifizm
פְּצָצָה	petzatza
פְּצָצָה אֲטוֹמִית	petzatza atomit
פָּקַד	pakad
פָּקַדְתִּי	pakadti
פִּקֵּחַ	pikeach
פָּקַק	pakak
‎פַּר‎	par
פַּרְבָּר	parbar
פָּרָג	parag
פָּרָדִיגְמָה	paradigma
פַּרְדֵּס	pardes
פָּרָה‎	para
פָּרָה	para
פָּרוֹ	paro
פְּרוֹ־	pro-
פְּרוּ	pru
פְּרוֹבִינְצְיָה	provintsya
פְּרוֹזְבּוֹל	prozbol
פְּרוֹיֶקְט	proyekt
פרויקטים	proyektim
פְּרוּסָה	prusa
פְּרוֹפֶסוֹר	profesor
פָּרוֹת	parot
פֵּרוֹת	perot
פָּרַח	parakh
פֶּרַח	perakh
פְרֵחָה	frekha
פְּרָחִים	prakhim
פְּרָטִי	prati
פְּרִי	pri
פֶּ‏רִיגֵיאָ‏ה	perigea
פָּרִיז	pariz
פְרָיֶר	fraier
פַרְמָקוֹלוֹגְיָה	farmakologya
פָּרָנוֹאִידִי	paranoidi
פָּרַס	paras
פָּרָס	paras
פְּרָס	pras
פַּרְסִי	parsi
פִּרְסֵם	pirsem
פֻּרְסַם	pursam
פִּרְסְמָה	pirsma
פֶּרְסְפֶּקְטִיבָה	perspektiva
פַּרְעֹה	paro
פַּרְעוֹנֵי־	paronei-
פַּרְעוֹשׁ	parosh
פַּרְפָּרִים	parparim
פָּרַץ	parats
פֶּרֶץ	perets
פַּרְצוּף	partsuf
פָּרַק	parak
פַּרְק	park
פֶּרֶק	perek
פְּרָקִים	prakim, praqim
פְּרַקְלִיט	praklit
פָּרָשׁ	parash
פָּרַשׁ	parash
פָּרָשָׁה	parasa
פִּשּׁוּט	pishut
פָּשַׁט	pashat
פִּשֵּׁט	pishet
פֻּשַּׁט	pushat
פָּשַׁט אֶת הָרֶגֶל	pashat et haregel
פַּשְׁטוֹ	pashto
